ID,Mood,Quote
295,Happy,Happiness is the highest form of health. — Dalai Lama
296,Happy,Let your heart be your compass.
297,Happy,The happiness you feel is in direct proportion to the love you give.
298,Happy,Be a voice. not an echo.
299,Happy,Embrace the glorious mess that you are.
300,Happy,Choose joy. even in the mundane.
301,Sad,Sadness is a friend that teaches us to appreciate joy.
302,Sad,The best way to heal a broken heart is to give God all the pieces. — Unknown
303,Sad,Every cloud has a silver lining.
304,Sad,In the middle of difficulty lies opportunity. — Albert Einstein
305,Sad,Your present situation is not your final destination.
306,Sad,It's okay to feel sad. It's part of being human.
307,Sad,Pain is temporary; quitting lasts forever.
308,Sad,This too shall pass.
309,Sad,Stars can't shine without darkness.
310,Sad,Sadness is just a state of mind.
311,Sad,When you're lost in the dark. just remember you're not alone.
312,Sad,Courage is the ability to face sadness and continue.
313,Sad,Sometimes the bravest and most important thing you can do is just show up. — Brené Brown
314,Sad,Your sadness is valid; feel it and then let it go.
315,Sad,Grief is the price we pay for love. — Queen Elizabeth II
316,Sad,Even the darkest night will end and the sun will rise. — Victor Hugo
317,Sad,Behind every cloud. the sun is still shining.
318,Sad,No rain. no flowers.
319,Sad,Sometimes. you have to take a step back to see the bigger picture.
320,Sad,Life is a balance of holding on and letting go.
321,Stressed,Stress is caused by being ‘here' but wanting to be ‘there'.
322,Stressed,Sometimes you need to disconnect to reconnect.
323,Stressed,Do not anticipate trouble. or worry about what may never happen. — Benjamin Franklin
324,Stressed,Stress should be a powerful driving force. not an obstacle.
325,Stressed,The greatest weapon against stress is our ability to choose one thought over another. — William James
326,Stressed,The pressure you feel is not as strong as your ability to cope.
327,Stressed,Take a deep breath; it's just a bad day. not a bad life.
328,Stressed,Feelings are just visitors. Let them come and go.
329,Stressed,A calm mind brings inner strength and self-confidence.
330,Stressed,The mind is everything. What you think. you become. — Buddha
331,Calm,Tranquility is the perfect state of mind.
332,Calm,Letting go is the hardest as well as the easiest thing to do.
333,Calm,Calmness is the cradle of power.
334,Calm,Still waters run deep.
335,Calm,Calmness and composure are the secrets of success.
336,Calm,In calmness. you find clarity.
337,Calm,Inner peace begins the moment you choose not to allow another person or event to control your emotions. — Unknown
338,Calm,The greatest step towards a life of simplicity is to learn to let go.
339,Calm,With calmness. you can think more clearly.
340,Calm,Nature does not hurry. yet everything is accomplished. — Lao Tzu
341,Calm,Seek peace and pursue it.
342,Calm,A calm sea does not make a skilled sailor.
343,Calm,Be like water. my friend. — Bruce Lee
344,Calm,In the midst of chaos. there is always an opportunity for serenity.
345,Calm,When you have peace in your heart. you can walk through any storm.
346,Calm,You are allowed to be both a masterpiece and a work in progress. simultaneously.
347,Calm,Peace comes from within; do not seek it without. — Buddha
348,Calm,The soul always knows what to do to heal itself. The challenge is to silence the mind. — Caroline Myss
349,Calm,Embrace the stillness; it's where the magic happens.
350,Calm,Take a breath. it's just a moment.
351,Happy,Happiness is not something ready-made. It comes from your own actions. — Dalai Lama
352,Happy,The purpose of our lives is to be happy. — Dalai Lama
353,Happy,Count your age by friends. not years. Count your life by smiles. not tears. — John Lennon
354,Happy,The most important decision you make is to be in a good mood. — Voltaire
355,Happy,Smile. it is the key that fits the lock of everybody's heart. — Anthony J. D'Angelo
356,Happy,The greatest pleasure in life is doing what people say you cannot do. — Walter Bagehot
357,Happy,Happiness is the art of never holding in your mind the memory of any unpleasant thing. — Anonymous
358,Happy,Happiness is a warm puppy. — Charles M. Schulz
359,Happy,Every day may not be good. but there's something good in every day. — Alice Morse Earle
360,Happy,Success is getting what you want. Happiness is wanting what you get. — Dale Carnegie
361,Happy,The key to happiness is letting each situation be what it is instead of what you think it should be.
362,Happy,The most wasted of days is one without laughter. — E.E. Cummings
363,Happy,Find ecstasy in life; the mere sense of living is joy enough. — Emily Dickinson
364,Happy,Happiness is not a goal; it is a by-product. — Eleanor Roosevelt
365,Happy,Do more of what makes you happy.
366,Happy,You are never fully dressed without a smile. — Martin Charnin
367,Happy,Happiness is a journey. not a destination.
368,Happy,Collect moments. not things.
369,Happy,Life is short. Smile while you still have teeth.
370,Happy,Life is like a camera. Focus on what's important. capture the good times. develop from the negatives.
371,Sad,Tears are words that need to be written. — Paulo Coelho
372,Sad,Sadness is a healer; it prepares you for the good.
373,Sad,Every sunset brings the promise of a new dawn. — Ralph Waldo Emerson
374,Sad,Sadness flies away on the wings of time. — Jean de La Fontaine
375,Sad,Sorrow is one of the vibrations that prove the fact of living. — Antoine de Saint-Exupéry
376,Sad,Pain is inevitable. Suffering is optional. — Haruki Murakami
377,Sad,There is no remedy for love but to love more. — Henry David Thoreau
378,Sad,Sometimes. you just need to take a break and breathe.
379,Sad,It's okay to feel lost sometimes; it's how you find your way.
380,Sad,Don't cry because it's over. smile because it happened. — Dr. Seuss
381,Sad,The wound is the place where the Light enters you. — Rumi
382,Sad,Sadness is but a wall between two gardens. — Kahlil Gibran
383,Sad,There's a crack in everything; that's how the light gets in. — Leonard Cohen
384,Sad,Grief is like a river; it ebbs and flows.
385,Sad,When it rains. look for rainbows. When it's dark. look for stars.
386,Sad,It's okay to not be okay.
387,Sad,The only way to get through it is to get through it.
388,Sad,Healing takes time. and asking for help is a courageous step.
389,Sad,Sadness is an ocean. and sometimes you have to swim through it.
390,Sad,To weep is to make less the depth of grief. — William Shakespeare
391,Stressed,The greatest weapon against stress is our ability to choose one thought over another.
392,Stressed,Stress is not what happens to us. It's our response to what happens. — Maureen Killoran
393,Stressed,Keep calm and carry on.
394,Stressed,Take a deep breath. It's just a bad day. not a bad life.
395,Stressed,You can't stop the waves. but you can learn to surf. — Jon Kabat-Zinn
396,Stressed,Take a break. It's okay to step back.
397,Stressed,Breathe deeply; it's just a moment.
398,Stressed,Worry is like a rocking chair; it gives you something to do but gets you nowhere. — Glenn Turner
399,Stressed,Let go of the stress; it's not worth it.
400,Stressed,Life is too important to be taken seriously. — Oscar Wilde
401,Calm,A calm mind brings inner strength and self-confidence.
402,Calm,The quieter you become. the more you can hear. — Ram Dass
403,Calm,Calmness is the cradle of power.
404,Calm,Peace is not the absence of conflict. but the ability to cope with it. — Mahatma Gandhi
405,Calm,Serenity is not found in a place but in the heart.
406,Calm,The only way to find peace is to create it.
407,Calm,Wherever you go. go with all your heart. — Confucius
408,Calm,Stay calm and enjoy the moment.
409,Calm,Let your mind be still.
410,Calm,Life is like water; it flows. bends. and shapes to fit.
411,Calm,In the midst of movement and chaos. keep stillness inside of you. — Deepak Chopra
412,Calm,Peace of mind is not the absence of conflict but the ability to cope with it.
413,Calm,Calm is a superpower.
414,Calm,Take a deep breath. and let it all go.
415,Calm,Life becomes easier when you learn to relax.
416,Calm,Simplicity brings calmness.
417,Calm,Inhale peace. exhale worry.
418,Calm,Your calm mind is the ultimate weapon against your challenges.
419,Calm,Find your calm and let it guide you.
420,Calm,Calmness is the beauty of the mind.
421,Happy,Happiness is a choice. You can choose to be happy.
422,Happy,Joy is not in things; it is in us. — Richard Wagner
423,Happy,Happiness is a butterfly. which when pursued. is always just beyond your grasp. — Nathaniel Hawthorne
424,Happy,Be happy for this moment. This moment is your life. — Omar Khayyam
425,Happy,The best way to cheer yourself is to try to cheer someone else up. — Mark Twain
426,Happy,Happiness is the secret to all beauty. There is no beauty without happiness. — Christian Dior
427,Happy,Happiness blooms from within.
428,Happy,Your happiness is your own creation.
429,Happy,Let your smile change the world. but don't let the world change your smile.
430,Happy,Happiness is not a destination. it's a way of life.
431,Happy,The only thing that can ruin a happy moment is your mind.
432,Happy,Radiate positivity and happiness.
433,Happy,Happiness is like a kiss. You must share it to enjoy it.
434,Happy,A smile is a curve that sets everything straight.
435,Happy,Happiness is found when you stop comparing yourself to other people.
436,Happy,To be happy. we must not be too concerned with others.
437,Happy,Happiness is the highest good.
438,Happy,Be happy and a reason will come along.
439,Happy,True happiness comes from within.
440,Happy,The most effective way to do it. is to do it. — Amelia Earhart
441,Sad,Sadness is but a shadow; it cannot last.
442,Sad,Even the darkest night will end. and the sun will rise. — Victor Hugo
443,Sad,Sadness is a state of mind that can be changed.
444,Sad,Pain is temporary; quitting lasts forever. — Lance Armstrong
445,Sad,Out of difficulties grow miracles. — Jean de La Bruyère
446,Sad,The sun will rise again. and it will shine brighter.
447,Sad,Sadness is only temporary; it cannot last forever.
448,Sad,This too shall pass.
449,Sad,Every disappointment is a step towards a greater opportunity.
450,Sad,There is a crack in everything; that's how the light gets in. — Leonard Cohen
451,Sad,When you are sorrowful. look again in your heart. and you shall see that in truth you are weeping for that which has been your delight. — Kahlil Gibran
452,Sad,Sometimes you need to take a break from everyone and spend time alone.
453,Sad,There is no greater sorrow than to recall happiness in times of misery. — Dante Alighieri
454,Sad,Every day may not be good. but there is something good in every day.
455,Sad,You cannot stop the waves. but you can learn to surf.
456,Sad,Sometimes the heart needs more time to accept what the mind already knows.
457,Sad,In the middle of difficulty lies opportunity. — Albert Einstein
458,Sad,There is beauty in sadness.
459,Sad,Even in the midst of loss. there is the potential for new beginnings.
460,Sad,To feel sadness is to feel alive.
461,Stressed,Stress is caused by being ‘here' but wanting to be ‘there'.
462,Stressed,The greatest weapon against stress is our ability to choose one thought over another.
463,Stressed,You can't control the wind. but you can adjust your sails.
464,Stressed,Stress is merely the result of being here when you'd rather be there.
465,Stressed,Don't stress the could haves; if it should have. it would have.
466,Stressed,The only way to deal with stress is to take a deep breath and face it.
467,Stressed,When everything feels like an uphill struggle. just think of the view from the top.
468,Stressed,Stress is what you make of it; find a way to turn it into strength.
469,Stressed,If you want to conquer the anxiety of life. live in the moment. live in the breath. — Amit Ray
470,Stressed,Take a deep breath and remember that you are going to be okay.
471,Calm,Calmness is the cradle of power.
472,Calm,A calm mind is a powerful mind.
473,Calm,Peace is not the absence of conflict. but the ability to cope with it.
474,Calm,Calmness is the way to find clarity.
475,Calm,The quieter you become. the more you can hear.
476,Calm,In the midst of chaos. there is always a calm.
477,Calm,You can't always control what goes on outside. but you can control what goes on inside.
478,Calm,Find peace in the chaos of life.
479,Calm,The calm mind is a great source of strength.
480,Calm,The best way to regain your calm is to take a step back and breathe.
481,Calm,Calmness is the key to all life's challenges.
482,Calm,Serenity is the ultimate source of strength.
483,Calm,Breathe deeply; let peace flow through you.
484,Calm,A peaceful heart is a powerful heart.
485,Calm,In quietness. we find the strength to face any storm.
486,Calm,Every moment is a fresh beginning; stay calm.
487,Calm,True power lies in being calm and centered.
488,Calm,Your calm mind is the ultimate weapon against your challenges.
489,Calm,Serenity comes when you let go of the chaos around you.
490,Calm,Calmness is the soul's breath.
491,Happy,The purpose of our lives is to be happy. — Dalai Lama
492,Happy,Happiness is not something ready-made. It comes from your own actions. — Dalai Lama
493,Happy,Happiness is a warm puppy. — Charles M. Schulz
494,Happy,For every minute you are angry. you lose sixty seconds of happiness. — Ralph Waldo Emerson
495,Happy,The happiest people don't have the best of everything; they make the best of everything.
496,Happy,Smile. it's free therapy. — Douglas Horton
497,Happy,Count your age by friends. not years. Count your life by smiles. not tears. — John Lennon
498,Happy,Happiness is when what you think. what you say. and what you do are in harmony. — Mahatma Gandhi
499,Happy,Be happy. it drives people crazy.
500,Happy,Happiness is the art of never holding in your mind the memory of any unpleasant thing.
501,Happy,A happy family is but an earlier heaven. — George Bernard Shaw
502,Happy,You have to have confidence in your ability. and then be tough enough to follow through. — Rosalynn Carter
503,Happy,Happiness is a choice. not a result.
504,Happy,Your smile is your logo. your personality is your business card. and how you leave others feeling after an experience with you becomes your trademark. — Jay Danzie
505,Happy,Happiness can be found even in the darkest of times if one only remembers to turn on the light. — Albus Dumbledore
506,Happy,Life is too short to be serious all the time. So if you can't laugh at yourself. call me... and I'll laugh at you.
507,Happy,Happiness is the highest form of health.
508,Happy,The best things in life are free. They are not things.
509,Happy,Being happy never goes out of style. — Lilly Pulitzer
510,Happy,Life is better when you're laughing.
511,Sad,Sadness can be a beautiful thing.
512,Sad,Tears are words that need to be written. — Paulo Coelho
513,Sad,It's okay to be sad sometimes; it means you care.
514,Sad,In order to be able to give love. you must first have it. In order to share sadness. you must first feel it.
515,Sad,The world is full of sadness. but it's also full of beauty.
516,Sad,Sometimes you need to cry to be strong.
517,Sad,Sadness is just a moment; it is not your whole life.
518,Sad,We must embrace pain and burn it as fuel for our journey. — Kenji Miyazawa
519,Sad,You can't be brave if you've only had wonderful things happen to you. — Mary Tyler Moore
520,Sad,Every experience. good or bad. is a lesson.
521,Sad,Sometimes the best way to get through the sadness is to let it wash over you.
522,Sad,Even in sadness. there's beauty to be found.
523,Sad,Sadness is not a weakness; it shows you care deeply.
524,Sad,Life can be tough. but so are you.
525,Sad,You are not alone in your sadness.
526,Sad,It's okay to feel sad. but remember to look for the light.
527,Sad,Don't be afraid to be sad. It can lead you to happiness.
528,Sad,Sometimes. the most productive thing you can do is rest and let your emotions run.
529,Sad,The sun will shine again. even after the rain.
530,Sad,The only way to get through the pain is to go through it.
531,Stressed,Stress is not what happens to us. It's our response to what happens. — Maureen Killoran
532,Stressed,Don't let your mind bully your body.
533,Stressed,You are braver than you believe. stronger than you seem. and smarter than you think. — A.A. Milne
534,Stressed,Stress is a choice; choose wisely.
535,Stressed,In the middle of difficulty lies opportunity.
536,Stressed,Worrying does not take away tomorrow's troubles; it takes away today's peace.
537,Stressed,The only thing you can control is how you respond to stress.
538,Stressed,A little progress each day adds up to big results.
539,Stressed,You cannot change the direction of the wind. but you can adjust your sails.
540,Stressed,Let go of the stress; it's a heavy burden to carry.
541,Calm,Calm is the new cool.
542,Calm,In the stillness of the mind. you will find your strength.
543,Calm,Calmness is a superpower.
544,Calm,A calm sea does not make a skilled sailor.
545,Calm,Be like water. my friend. — Bruce Lee
546,Calm,Inhale peace. exhale stress.
547,Calm,Calmness is the key to clarity.
548,Calm,Peace begins with a smile. — Mother Teresa
549,Calm,Let your calmness be your strength.
550,Calm,A calm mind brings inner strength and self-confidence.
551,Calm,Be at peace with yourself. and the world will follow.
552,Calm,Calmness is the balance between the mind and the heart.
553,Calm,Stay calm and carry on.
554,Calm,Calmness is the antidote to chaos.
555,Calm,A peaceful mind is a powerful mind.
556,Calm,Stillness speaks; listen to your inner voice.
557,Calm,In the calm. we find our true selves.
558,Calm,Simplicity brings calmness.
559,Calm,Calmness is a choice; choose it wisely.
560,Calm,Embrace the silence; it's where clarity lives.
561,Motivated,Success is not for the lazy.
562,Motivated,Your only limit is you.
563,Motivated,Work hard in silence. let success be your noise.
564,Motivated,Push yourself because no one else is going to do it for you.
565,Motivated,The harder you work for something. the greater you'll feel when you achieve it.
566,Motivated,Dream big. work hard. stay focused.
567,Motivated,Success doesn't just find you; you have to go out and get it.
568,Motivated,The future depends on what you do today. — Mahatma Gandhi
569,Motivated,Don't watch the clock; do what it does. Keep going. — Sam Levenson
570,Motivated,Do something today that your future self will thank you for.
571,Motivated,Believe you can. and you're halfway there. — Theodore Roosevelt
572,Motivated,Your mindset is your most powerful asset.
573,Motivated,Success usually comes to those who are too busy to be looking for it. — Henry David Thoreau
574,Motivated,The only way to do great work is to love what you do. — Steve Jobs
575,Motivated,Success is not how high you have climbed. but how you make a positive difference to the world. — Roy T. Bennett
576,Motivated,It's not about perfect. It's about effort.
577,Motivated,Action is the foundational key to all success. — Pablo Picasso
578,Motivated,Great things never come from comfort zones.
579,Motivated,Hardships often prepare ordinary people for an extraordinary destiny. — C.S. Lewis
580,Motivated,Success is the sum of small efforts repeated day in and day out. — Robert Collier
581,Energized,Energy and persistence conquer all things. — Benjamin Franklin
582,Energized,Your energy introduces you before you even speak.
583,Energized,Let your energy be contagious.
584,Energized,The more you give. the more you receive.
585,Energized,Energy flows where attention goes.
586,Energized,A positive attitude is like a magnet for positive energy.
587,Energized,Keep your face to the sunshine. and you cannot see a shadow. — Helen Keller
588,Energized,You are energy. You are powerful.
589,Energized,Stay positive. work hard. make it happen.
590,Energized,Be a warrior. not a worrier.
591,Happy,The only thing that will make you happy is being happy with who you are. — Goldie Hawn
592,Happy,Happiness blooms from within. — Unknown
593,Happy,Collect moments. not things. — Unknown
594,Happy,Do more of what makes you happy. — Unknown
595,Happy,Let your smile change the world. but don't let the world change your smile. — Unknown
596,Happy,Happiness is not a destination; it's a way of life. — Author Unknown
597,Happy,Choose to be happy. It's a choice worth making. — Unknown
598,Happy,Every day may not be good. but there's something good in every day. — Alice Morse Earle
599,Happy,Happiness is not in the mere possession of money; it lies in the joy of achievement. in the thrill of creative effort. — Franklin D. Roosevelt
600,Happy,Find ecstasy in life; the mere sense of living is joy enough. — Emily Dickinson
601,Sad,Sadness is a reminder that you are alive. — Unknown
602,Sad,The greatest griefs are those we cause ourselves. — Sophocles
603,Sad,The wound is the place where the Light enters you. — Rumi
604,Sad,Sometimes. when you're feeling sad. you need to embrace the sadness to understand it. — Unknown
605,Sad,Sadness is but a shadow; it will pass. — Unknown
606,Sad,Every day can't be sunny. Sometimes you need the rain to appreciate the sunshine. — Unknown
607,Sad,You have to feel the sadness before you can appreciate the happiness. — Unknown
608,Sad,Tears are the silent language of grief. — Voltaire
609,Sad,What brings us to tears will lead us to grace. — Sue Monk Kidd
610,Sad,It's okay to be a glowstick; sometimes. we need to break before we shine. — Unknown
611,Stressed,Stress is like a rocking chair; it gives you something to do but gets you nowhere. — Glenn Turner
612,Stressed,You can't control everything; sometimes. you just need to relax and have faith that things will work out. — Unknown
613,Stressed,Take a deep breath. It's just a bad day. not a bad life. — Unknown
614,Stressed,Stress is not an absence of strength; it's an invitation to grow. — Unknown
615,Stressed,Do not dwell in the past. do not dream of the future. concentrate the mind on the present moment. — Buddha
616,Stressed,A calm mind brings inner strength and self-confidence. — Dalai Lama
617,Stressed,Let the stress pass; it's just a moment in time. — Unknown
618,Stressed,Do not let your difficulties fill you with anxiety; after all. it is only in the darkest nights that stars shine. — Unknown
619,Stressed,Stress is what happens when your mind overrides the body's desire to choke. — Unknown
620,Stressed,Keep your head up. your heart strong. — Ben Howard
621,Calm,Calmness is the cradle of power. — Josiah Gilbert Holland
622,Calm,Peace is not the absence of conflict. but the presence of creative alternatives for responding to conflict. — Dorothy Thompson
623,Calm,Calm is the source of power. — Unknown
624,Calm,Serenity is not found. it's created. — Unknown
625,Calm,Calm your mind. and you will calm your world. — Unknown
626,Calm,Calmness is a superpower in the storm. — Unknown
627,Calm,When you let go of what you are. you become what you might be. — Lao Tzu
628,Calm,Stillness is where creativity and solutions to problems are found. — Unknown
629,Calm,The quieter you become. the more you can hear. — Ram Dass
630,Calm,Embrace the calm; it is where you find clarity. — Unknown
631,Motivated,If you want to achieve greatness. stop asking for permission. — Unknown
632,Motivated,Success is not final; failure is not fatal: It is the courage to continue that counts. — Winston S. Churchill
633,Motivated,Dream big and dare to fail. — Norman Vaughan
634,Motivated,What you get by achieving your goals is not as important as what you become by achieving your goals. — Zig Ziglar
635,Motivated,The way to get started is to quit talking and begin doing. — Walt Disney
636,Motivated,Act as if what you do makes a difference. It does. — William James
637,Motivated,Success is walking from failure to failure with no loss of enthusiasm. — Winston S. Churchill
638,Motivated,The only limit to our realization of tomorrow will be our doubts of today. — Franklin D. Roosevelt
639,Motivated,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart. — Roy T. Bennett
640,Motivated,What lies behind us and what lies before us are tiny matters compared to what lies within us. — Ralph Waldo Emerson
641,Energized,Energy is contagious; either you affect people or you infect people. — T. Harv Eker
642,Energized,You can't use up creativity. The more you use. the more you have. — Maya Angelou
643,Energized,Success is the result of preparation. hard work. and learning from failure. — Colin Powell
644,Energized,Let your enthusiasm be your guide. — Unknown
645,Energized,Find what energizes you and pursue it relentlessly. — Unknown
646,Energized,Passion is energy. Feel the power that comes from focusing on what excites you. — Oprah Winfrey
647,Energized,The greatest weapon against stress is our ability to choose one thought over another. — William James
648,Energized,Your energy introduces you before you even speak. — Unknown
649,Energized,The best way to predict the future is to create it. — Peter Drucker
650,Energized,Surround yourself with positive people and situations. — Unknown
